'cod_producto','nom_producto','val_cantidad_uc','des_path_foto'
'586','HILERET SOBRECITOS STEVIA 50U','8','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\585 584 586 587.jpg'
'587','HILERET SOBRECITOS STEVIA 100U','8','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\587.jpg'
'588','HILERET LIQUIDO STEVIA 200ML','9','D:\Fotos\ALMACEN\AZUCAR Y EDULCORANTES\582 583 588.jpg'
'590','CAMISETA DUO 30 X 40','100',''
'591','BOLSAS RESI YO RECICLO 45X60X24','24',''
'592','BOLSAS CONSORCIO RECICLO 60 X 90 10U','50',''
'593','BOLSA CONSORCIO 80 X110 X10U','25',''
'594','BOLSAS RECIDUOS 45 X 60 X 10','60',''
'595','BOLSA RESIDUO 45 X 60 X30U','50',''
'596','BOLSA CAMISETA 40X50 REFORZADA','20',''
'598','BOLSAS CONSORCIO 50 X 70 X 20U','25',''
'601','PEHUAMAR PAPAS FRITAS ACANALADA 520G','1','D:\Fotos\GOLOSINAS\SNAKS\666 601.jpg'
'607','CHOC. COFLER AIR LECHE 55G','10','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\608 607 609.jpg'
'608','CHOC. COFLER AIR BON O BON 67G','10','D:\Fotos\GOLOSINAS\ALFAJORES Y CHOCOLATES\608 607 609.jpg'
'611','MAICITOS HUECOS CON QUESO 300G','1','D:\Fotos\GOLOSINAS\SNAKS\611.jpg'
'622','MAYONESA NATURA DE 250CC','12','D:\Fotos\ALMACEN\ADEREZOS\3501 2500 622.jpg'
'629','LAYS QUESO Y CEBOLLA 80G','25','D:\Fotos\GOLOSINAS\SNAKS\629 716 715 658.jpg'
'653','SUEROX FRUTILLA KIWI 630 ML','6','D:\Fotos\BEBIDAS\AGUAS Y SODAS\653 654 655.jpg'
'654','SUEROX MANZANA 630 ML','6','D:\Fotos\BEBIDAS\AGUAS Y SODAS\653 654 655.jpg'
'655','SUEROX ARANDANO POMELO 630 ML','6','D:\Fotos\BEBIDAS\AGUAS Y SODAS\653 654 655.jpg'
'657','3D MEGA QUESO 92G','27','D:\Fotos\GOLOSINAS\SNAKS\710 659.jpg'
'659','DORITOS QUESO 77G','26','D:\Fotos\GOLOSINAS\SNAKS\659 713.jpg'
'684','PRESTOBARBA 3 FILOS VENUS','8','D:\Fotos\PERFUMERIA\CUIDADO PERSONAL\684 2108 2104 2125 685.jpg'
'701','ALCOHOL TU-DOC 250ML','10','D:\Fotos\ALMACEN\VARIOS\701.jpg'
'706','CARA. MISKY TOFFEES 648G D/LECHE','8','D:\Fotos\GOLOSINAS\VARIOS\706 709 708 725 766.jpg'
'707','CARA. MISKY TOFFEES 648G CHOCOLATE','8','D:\Fotos\GOLOSINAS\VARIOS\2041 2042 711 728 707.jpg'
'708','CARA. MISKY TRANSP. MIEL 675G','6','D:\Fotos\GOLOSINAS\VARIOS\706 709 708 725 766.jpg'
'709','CARA. MISKY TRANSP. MENTA 810G','6','D:\Fotos\GOLOSINAS\VARIOS\706 709 708 725 766.jpg'
'710','3D MEGA QUESO 47G','75','D:\Fotos\GOLOSINAS\SNAKS\710 659.jpg'
'713','DORITOS QUESO  45G','58','D:\Fotos\GOLOSINAS\SNAKS\659 713.jpg'
